--------------------------------
20-Jul-2014 19:46:59 
data from observer A08 
#occlusion2 expt 
reference disparity (degrees) 0.160000 

stim order disp kresp testresp correct time
1    1    -0.074    1    1   1    2.18
2    1    0.069    2    2   1    1.25
3    1    0.065    2    2   1    1.63
4    2    -0.060    2    1   1    2.24
5    2    -0.055    2    1   1    1.05
6    2    0.051    1    2   1    1.75
7    1    0.046    2    2   1    0.96
8    1    -0.042    1    1   1    2.45
9    2    0.037    1    2   1    1.02
10    1    0.032    2    2   1    1.52
11    1    -0.028    1    1   1    1.95
12    2    -0.023    2    1   1    1.98
13    2    -0.018    2    1   1    3.66
14    2    0.014    1    2   1    1.30
15    2    -0.009    1    2   0    1.09
16    1    -0.018    1    1   1    1.03
17    1    0.018    1    1   0    1.88
18    2    -0.028    2    1   1    2.45
19    1    0.028    2    2   1    0.87
20    2    0.023    1    2   1    1.22
21    1    0.023    2    2   1    0.94
22    1    -0.018    1    1   1    1.86
23    2    0.018    1    2   1    1.41
24    2    -0.014    1    2   0    1.52
25    1    -0.023    1    1   1    0.99
26    2    -0.023    2    1   1    1.39
27    1    0.018    2    2   1    1.25
28    2    0.018    1    2   1    1.22
29    1    0.014    2    2   1    0.99
30    1    -0.014    1    1   1    1.86
31    1    0.009    2    2   1    1.86
32    1    -0.009    2    2   0    2.46
33    1    0.018    2    2   1    1.37
34    2    0.018    1    2   1    1.18
35    1    0.014    1    1   0    2.06
36    1    0.023    2    2   1    1.23
37    1    -0.023    1    1   1    2.88
38    1    -0.018    1    1   1    1.80
39    1    -0.018    1    1   1    1.06
40    2    -0.014    2    1   1    2.41
41    2    -0.014    2    1   1    1.05
42    1    -0.009    1    1   1    3.75
43    1    -0.009    1    1   1    3.83
44    1    0.005    2    2   1    2.40
45    2    -0.005    2    1   1    2.11
46    1    -0.005    1    1   1    4.39
47    1    0.005    2    2   1    2.69
48    1    0.005    2    2   1    4.02
49    1    0.005    2    2   1    2.68
50    2    0.005    2    1   0    2.79
-------------------------
Final staircase threshold estimate (mean) is 0.0065
-------------------------
122    2    -0.005    2    1   0    19.24
125    2    0.014    1    2   0    1.16
60    1    0.014    2    2   0    1.46
14    1    0.005    1    1   1    3.95
92    2    -0.005    2    1   0    1.41
16    1    -0.014    1    1   0    1.36
56    1    -0.014    1    1   0    1.13
140    2    0.014    2    1   1    2.76
137    2    -0.005    2    1   0    1.61
74    1    0.005    1    1   1    2.60
81    2    -0.014    2    1   0    1.47
95    2    0.014    1    2   0    1.07
135    2    0.014    1    2   0    2.76
143    2    0.000    1    2   0    4.48
68    1    0.000    1    1   1    1.40
100    2    0.014    1    2   0    1.47
131    2    -0.014    1    2   1    2.17
142    2    -0.005    2    1   0    4.96
76    2    -0.014    2    1   0    1.36
15    1    0.014    1    1   1    1.37
103    2    0.000    2    1   1    2.29
110    2    0.014    1    2   0    0.97
98    2    0.000    1    2   0    4.98
59    1    0.005    2    2   0    4.32
120    2    0.014    1    2   0    1.15
114    2    0.005    2    1   1    2.32
75    2    0.014    1    2   0    2.60
82    2    -0.005    1    2   1    3.40
85    2    0.014    1    2   0    1.49
36    1    -0.014    1    1   0    1.78
28    1    0.000    2    2   0    2.13
7    1    -0.005    1    1   0    1.80
86    2    -0.014    2    1   0    3.56
33    1    0.000    2    2   0    3.88
144    2    0.005    2    1   1    4.65
83    2    0.000    2    1   1    2.31
42    1    -0.005    1    1   0    1.73
27    1    -0.005    1    1   0    2.86
26    1    -0.014    1    1   0    5.97
145    2    0.014    1    2   0    2.97
102    2    -0.005    2    1   0    3.04
41    1    -0.014    1    1   0    2.10
132    2    -0.005    2    1   0    2.78
117    2    -0.005    2    1   0    2.99
48    1    0.000    2    2   0    1.79
130    2    0.014    1    2   0    1.81
37    1    -0.005    1    1   0    2.34
22    1    -0.005    2    2   1    3.92
70    1    0.014    2    2   0    1.28
52    1    -0.005    1    1   0    1.23
38    1    0.000    1    1   1    4.88
49    1    0.005    2    2   0    2.82
20    1    0.014    2    2   0    2.22
54    1    0.005    1    1   1    7.20
139    2    0.005    1    2   0    2.45
18    1    0.000    2    2   0    5.02
3    1    0.000    1    1   1    3.54
111    2    -0.014    2    1   0    6.03
21    1    -0.014    1    1   0    2.37
39    1    0.005    2    2   0    6.52
2    1    -0.005    1    1   0    5.00
50    1    0.014    2    2   0    4.02
123    2    0.000    1    2   0    9.48
78    2    0.000    1    2   0    3.30
99    2    0.005    2    1   1    2.35
115    2    0.014    1    2   0    1.70
109    2    0.005    1    2   0    2.47
40    1    0.014    2    2   0    2.76
118    2    0.000    1    2   0    3.79
55    1    0.014    2    2   0    1.77
96    2    -0.014    2    1   0    3.30
