--------------------------------
31-Mar-2015 10:56:22 
data from observer T26 
#occlusion2 expt 
reference disparity (degrees) 0.160000 

stim order disp kresp testresp correct time
1    1    0.074    2    2   1    2.95
2    2    0.069    2    1   0    3.92
3    1    -0.079    2    2   0    2.39
4    2    -0.088    2    1   1    1.53
5    2    0.088    2    1   0    3.52
6    1    0.097    2    2   1    1.76
7    1    0.097    2    2   1    1.37
8    2    0.092    1    2   1    1.96
9    2    -0.092    2    1   1    1.36
10    2    0.088    2    1   0    6.63
11    2    0.097    2    1   0    1.61
12    2    0.106    2    1   0    1.75
13    2    -0.115    2    1   1    1.21
14    2    -0.115    2    1   1    2.03
15    2    0.111    2    1   0    1.73
16    1    0.120    2    2   1    1.30
17    2    -0.120    2    1   1    2.05
18    2    -0.115    2    1   1    1.39
19    1    -0.115    1    1   1    7.51
20    2    0.111    2    1   0    1.81
21    1    0.120    2    2   1    1.09
22    2    -0.120    2    1   1    1.42
23    1    0.115    2    2   1    1.99
24    1    0.115    2    2   1    1.00
25    2    0.111    2    1   0    4.70
26    2    -0.120    2    1   1    3.70
27    1    -0.120    2    2   0    6.84
28    1    -0.129    1    1   1    5.93
29    1    -0.129    1    1   1    5.20
30    1    -0.125    1    1   1    5.56
31    1    -0.125    1    1   1    4.30
32    1    -0.120    2    2   0    2.47
33    1    -0.129    2    2   0    6.04
34    2    0.139    1    2   1    2.12
35    2    -0.139    2    1   1    1.74
36    1    -0.134    1    1   1    1.57
37    1    0.134    1    1   0    1.48
38    1    0.143    2    2   1    2.13
39    2    0.143    2    1   0    1.69
40    2    0.148    2    1   0    1.62
41    2    -0.148    2    1   1    2.88
42    1    -0.148    2    2   0    6.19
43    1    0.148    2    2   1    2.24
44    1    -0.148    1    1   1    3.49
45    1    0.143    2    2   1    1.59
46    2    -0.143    2    1   1    2.43
47    2    -0.139    2    1   1    1.47
48    2    0.139    2    1   0    6.20
49    1    -0.148    2    2   0    3.47
50    1    0.148    2    2   1    1.84
-------------------------
Final staircase threshold estimate (mean) is 0.1450
-------------------------
